# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Oct 11 05:55:42 2024
#
# User preference: *
#
# CONSTRAINT:  order by pl_name asc, disc_year asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN sy_dist:        Distance [pc]
#
pl_name,hostname,disc_year,disc_facility,pl_orbsmax,pl_bmassj,st_mass,sy_dist
51 Peg b,51 Peg,1995,Haute-Provence Observatory,0.052700,0.46000,1.03,15.4614000
55 Cnc b,55 Cnc,1996,Lick Observatory,0.113400,0.83060,0.91,12.5855000
55 Cnc c,55 Cnc,2004,McDonald Observatory,0.237300,0.17140,0.91,12.5855000
55 Cnc d,55 Cnc,2002,Lick Observatory,5.957000,3.87800,0.91,12.5855000
55 Cnc e,55 Cnc,2004,McDonald Observatory,0.015440,0.02514,0.91,12.5855000
55 Cnc f,55 Cnc,2007,Multiple Observatories,0.770800,0.14100,0.91,12.5855000
6 Lyn b,6 Lyn,2008,Okayama Astrophysical Observatory,2.028000,1.88100,1.32,54.6599000
61 Vir b,61 Vir,2009,Multiple Observatories,0.050201,0.01600,0.94,8.5033200
61 Vir c,61 Vir,2009,Multiple Observatories,0.217500,0.05700,0.94,8.5033200
61 Vir d,61 Vir,2009,Multiple Observatories,0.476000,0.07200,0.94,8.5033200
7 CMa b,7 CMa,2011,Anglo-Australian Telescope,1.758000,1.85000,1.34,19.8101000
7 CMa c,7 CMa,2019,Multiple Observatories,2.153000,0.87000,1.34,19.8101000
70 Vir b,70 Vir,1996,Lick Observatory,0.481000,7.49000,1.09,17.9011000
75 Cet b,75 Cet,2012,Okayama Astrophysical Observatory,1.912000,2.47900,1.92,82.9613000
75 Cet c,75 Cet,2023,Okayama Astrophysical Observatory,3.929000,0.91200,1.92,82.9613000
8 UMi b,8 UMi,2015,Bohyunsan Optical Astronomical Observatory,0.490000,1.31000,1.44,162.5520000
81 Cet b,81 Cet,2008,Okayama Astrophysical Observatory,2.104000,3.30700,1.23,101.2600000
91 Aqr b,91 Aqr,2013,Lick Observatory,0.700000,3.20000,1.40,44.0304000
AB Aur b,AB Aur,2022,Subaru Telescope,93.900000,9.00000,2.40,162.1270000
AB Pic b,AB Pic,2005,Paranal Observatory,260.000000,13.50000,0.90,50.0475000
AF Lep b,AF Lep,2023,Paranal Observatory,8.400000,3.20000,1.20,26.8564000
AU Mic b,AU Mic,2020,Transiting Exoplanet Survey Satellite (TESS),0.064500,0.06330,0.50,9.7221000
AU Mic c,AU Mic,2021,Transiting Exoplanet Survey Satellite (TESS),0.110100,0.03020,0.50,9.7221000
AU Mic d,AU Mic,2023,Multiple Observatories,,0.00331,0.51,9.7221000
BD+03 2562 b,BD+03 2562,2017,Multiple Observatories,1.300000,6.40000,1.14,1070.6300000
BD+14 4559 b,BD+14 4559,2009,McDonald Observatory,0.780000,1.04000,0.49,49.3520000
BD+15 2375 b,BD+15 2375,2016,Roque de los Muchachos Observatory,0.576000,1.06100,1.08,768.0450000
BD+15 2940 b,BD+15 2940,2013,McDonald Observatory,0.539000,1.11000,1.10,426.4200000
BD+20 2457 b,BD+20 2457,2009,McDonald Observatory,1.450000,21.42000,2.80,1539.7100000
BD+20 2457 c,BD+20 2457,2009,McDonald Observatory,2.010000,12.47000,2.80,1539.7100000
BD+20 274 b,BD+20 274,2012,McDonald Observatory,1.300000,4.20000,0.80,1322.5100000
BD+20 594 b,BD+20 594,2016,K2,0.241000,0.07000,1.67,179.4610000
BD+45 564 b,BD+45 564,2021,Haute-Provence Observatory,0.830000,1.36000,0.81,53.6220000
BD+48 738 b,BD+48 738,2011,McDonald Observatory,1.000000,0.91000,0.74,871.4930000
BD+48 740 b,BD+48 740,2018,Multiple Observatories,1.700000,1.70000,1.09,666.5890000
BD+49 828 b,BD+49 828,2015,McDonald Observatory,4.200000,1.60000,1.52,442.0420000
BD+55 362 b,BD+55 362,2021,Haute-Provence Observatory,0.780000,0.72000,0.91,52.5697000
BD+60 1417 b,BD+60 1417,2021,Wide-field Infrared Survey Explorer (WISE) Sat,1662.000000,15.00000,1.00,44.9543000
BD+63 1405 b,BD+63 1405,2021,Haute-Provence Observatory,2.060000,10.40000,0.82,38.0473000
BD-06 1339 b,BD-06 1339,2013,La Silla Observatory,0.042800,0.02700,0.70,20.2695000
BD-06 1339 c,BD-06 1339,2013,La Silla Observatory,0.435000,0.17000,0.70,20.2695000
BD-08 2823 b,BD-08 2823,2009,La Silla Observatory,0.060000,0.04000,0.50,41.3342000
BD-08 2823 c,BD-08 2823,2009,La Silla Observatory,0.680000,0.33000,0.74,41.3342000
BD-10 3166 b,BD-10 3166,2000,W. M. Keck Observatory,0.040000,0.59000,1.47,84.4069000
BD-11 4672 b,BD-11 4672,2014,La Silla Observatory,2.360000,0.65000,0.65,27.1665000
BD-11 4672 c,BD-11 4672,2020,Roque de los Muchachos Observatory,0.300000,0.04836,0.65,27.1665000
BD-13 2130 b,BD-13 2130,2007,La Silla Observatory,1.660000,9.78000,2.12,925.2140000
BD-14 3065 b,BD-14 3065 A,2024,Transiting Exoplanet Survey Satellite (TESS),0.065600,12.37000,1.41,589.4230000
BD-17 63 b,BD-17 63,2008,La Silla Observatory,1.340000,5.16000,0.74,34.4603000
BD-210397 b,BD-210397,2023,La Silla Observatory,2.630000,0.70000,0.68,23.7324000
BD-210397 c,BD-210397,2023,La Silla Observatory,5.900000,4.80000,0.69,23.7324000
Barnard b,Barnard's star,2024,Paranal Observatory,0.022940,0.00116,0.16,1.8265500
CD Cet b,CD Cet,2020,Calar Alto Observatory,0.018500,0.01243,0.16,8.6071500
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,2011,W. M. Keck Observatory,2.600000,10.50000,0.02,23.1000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,2021,Hubble Space Telescope,200.000000,7.80000,0.01,
CHXR 73 b,CHXR 73,2006,Hubble Space Telescope,210.000000,12.56900,0.35,190.3740000
CI Tau c,CI Tau,2024,Multiple Observatories,0.170000,3.60000,0.90,157.9980000
COCONUTS-2 b,COCONUTS-2 A,2021,NASA Infrared Telescope Facility (IRTF),7506.000000,6.30000,0.37,10.8864000
CT Cha b,CT Cha,2007,Paranal Observatory,440.000000,17.00000,,190.7200000
CoRoT-1 b,CoRoT-1,2008,CoRoT,0.027520,1.03000,0.95,787.9090000
CoRoT-10 b,CoRoT-10,2010,CoRoT,0.105500,2.75000,0.89,338.3860000
CoRoT-11 b,CoRoT-11,2010,CoRoT,0.043600,2.33000,1.27,655.0370000
CoRoT-12 b,CoRoT-12,2010,CoRoT,0.040160,0.91700,1.08,1126.3700000
CoRoT-13 b,CoRoT-13,2010,CoRoT,0.051000,1.30800,1.09,1148.9300000
CoRoT-14 b,CoRoT-14,2010,CoRoT,0.027000,7.60000,1.13,1744.6000000
CoRoT-16 b,CoRoT-16,2011,CoRoT,0.061800,0.53500,1.10,732.4090000
CoRoT-17 b,CoRoT-17,2011,CoRoT,0.046100,2.43000,1.04,1176.1200000
CoRoT-18 b,CoRoT-18,2011,CoRoT,0.029500,3.47000,0.95,764.8890000
CoRoT-19 b,CoRoT-19,2011,CoRoT,0.051800,1.11000,1.21,790.6630000
CoRoT-2 b,CoRoT-2,2008,CoRoT,0.027980,3.47000,0.96,213.2830000
CoRoT-20 b,CoRoT-20,2011,CoRoT,0.090000,4.30000,1.14,844.0610000
CoRoT-20 c,CoRoT-20,2018,Multiple Observatories,2.900000,17.00000,1.14,844.0610000
CoRoT-21 b,CoRoT-21,2012,CoRoT,0.041700,2.26000,1.29,1398.8341969
CoRoT-22 b,CoRoT-22,2014,CoRoT,0.092000,0.03800,1.10,627.1580000
CoRoT-23 b,CoRoT-23,2011,CoRoT,0.048000,2.80000,1.14,1060.9700000
CoRoT-24 b,CoRoT-24,2014,CoRoT,0.056000,0.01800,0.91,591.5550000
CoRoT-24 c,CoRoT-24,2014,CoRoT,0.098000,0.08800,0.91,591.5550000
CoRoT-25 b,CoRoT-25,2013,CoRoT,0.057800,0.27000,1.09,1103.4800000
CoRoT-26 b,CoRoT-26,2013,CoRoT,0.052600,0.52000,1.09,1045.1800000
CoRoT-27 b,CoRoT-27,2014,CoRoT,0.047600,10.39000,1.05,1010.2800000
CoRoT-28 b,CoRoT-28,2015,CoRoT,0.060300,0.48400,1.01,766.1830000
CoRoT-29 b,CoRoT-29,2015,CoRoT,0.038600,0.85000,0.97,806.5070000
CoRoT-3 b,CoRoT-3,2008,CoRoT,0.057830,21.66000,1.37,768.7710000
CoRoT-30 b,CoRoT-30,2020,CoRoT,0.084400,2.90000,0.98,1032.2300000
CoRoT-31 b,CoRoT-31,2020,CoRoT,0.058600,0.84000,1.25,2005.7600000
CoRoT-35 b,CoRoT-35,2022,CoRoT,0.042900,1.10000,1.01,1123.2100000
CoRoT-36 b,CoRoT-36,2022,CoRoT,0.066000,0.68000,1.32,925.9580000
CoRoT-4 b,CoRoT-4,2008,CoRoT,0.090000,0.72000,1.16,726.4120000
CoRoT-5 b,CoRoT-5,2009,CoRoT,0.049470,0.46700,1.00,882.4720000
CoRoT-6 b,CoRoT-6,2009,CoRoT,0.085500,2.96000,1.05,645.2940000
CoRoT-7 b,CoRoT-7,2009,CoRoT,0.017016,0.01283,0.82,159.9060000
CoRoT-7 c,CoRoT-7,2009,CoRoT,0.046000,0.02643,0.90,159.9060000
CoRoT-7 d,CoRoT-7,2022,La Silla Observatory,,0.05393,0.92,159.9060000
CoRoT-8 b,CoRoT-8,2010,CoRoT,0.063000,0.22000,0.88,322.0370000
CoRoT-9 b,CoRoT-9,2009,CoRoT,0.402100,0.84000,0.96,412.9800000
CoRoTID 223977153 b,CoRoTID 223977153,2017,CoRoT,0.071000,0.15000,1.08,576.6830000
DE CVn b,DE CVn,2018,Multiple Facilities,5.750000,12.02930,0.51,30.5225000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,2013,Paranal Observatory,0.360000,28.50000,0.07,20.7700000
DH Tau b,DH Tau,2004,Subaru Telescope,330.000000,11.00000,0.33,134.8460000
DMPP-1 b,DMPP-1,2019,La Silla Observatory,0.146200,0.07636,1.21,62.5388000
DMPP-1 c,DMPP-1,2019,La Silla Observatory,0.073300,0.03020,1.21,62.5388000
DMPP-1 d,DMPP-1,2019,La Silla Observatory,0.042200,0.01054,1.21,62.5388000
DMPP-1 e,DMPP-1,2019,La Silla Observatory,0.065100,0.01299,1.21,62.5388000
DMPP-2 b,DMPP-2,2019,Multiple Facilities,0.066400,0.43700,1.44,137.9400000
DMPP-3 A b,DMPP-3 A,2019,La Silla Observatory,0.066200,0.00812,0.87,45.2300000
DMPP-4 b,DMPP-4,2023,Multiple Observatories,0.048530,0.03839,1.25,25.3284000
DP Leo b,DP Leo,2009,Yunnan Astronomical Observatory,8.190000,6.28000,0.69,305.6840000
DS Tuc A b,DS Tuc A,2019,Transiting Exoplanet Survey Satellite (TESS),,1.30000,1.01,44.0622000
EPIC 201170410.02,EPIC 201170410,2020,K2,0.034900,0.00360,0.29,134.0000000
EPIC 201238110 b,EPIC 201238110,2019,K2,,0.01310,0.41,159.2590000
EPIC 201427007 b,EPIC 201427007,2021,K2,,0.00899,0.93,706.3910000
EPIC 201497682 b,EPIC 201497682,2019,K2,,0.00082,0.78,253.0260000
EPIC 201595106 b,EPIC 201595106,2021,K2,,0.00705,1.02,232.1000000
EPIC 201615463 c,K2-166,2019,K2,,0.00624,1.07,476.8820000
EPIC 201754305 d,K2-16,2019,K2,,0.00340,0.67,334.9670000
EPIC 201757695.02,EPIC 201757695,2020,K2,0.029600,0.00217,0.73,577.6000000
EPIC 201833600 c,K2-50,2019,K2,,0.00306,0.61,257.4430000
EPIC 201841433 b,EPIC 201841433,2019,K2,0.035000,0.00352,0.80,436.4880000
EPIC 205950854 c,K2-168,2019,K2,,0.00714,0.88,243.9350000
EPIC 206024342 b,EPIC 206024342,2019,K2,,0.01110,0.93,369.8880000
EPIC 206024342 c,EPIC 206024342,2021,K2,,0.00800,0.93,369.8880000
EPIC 206024342 d,EPIC 206024342,2021,K2,,0.02290,0.93,369.8880000
EPIC 206032309 b,EPIC 206032309,2019,K2,,0.00317,0.22,161.3650000
EPIC 206042996 b,EPIC 206042996,2019,K2,,0.01110,0.57,451.7690000
EPIC 206042996 c,EPIC 206042996,2021,K2,,0.00588,0.57,451.7690000
EPIC 206215704 b,EPIC 206215704,2019,K2,,0.00306,0.41,109.8880000
EPIC 206317286 b,EPIC 206317286,2019,K2,,0.00264,0.71,314.3500000
EPIC 206317286 c,EPIC 206317286,2022,K2,,0.01580,0.83,314.3500000
EPIC 211822797 b,EPIC 211822797,2016,K2,0.119500,0.01370,0.62,186.1970000
EPIC 211945201 b,EPIC 211945201,2018,K2,0.149300,0.08495,1.17,181.6900000
EPIC 212297394 b,EPIC 212297394,2019,K2,,0.00879,0.83,418.3950000
EPIC 212297394 c,EPIC 212297394,2016,K2,,0.01820,0.83,418.3950000
EPIC 212424622 b,EPIC 212424622,2019,K2,,0.01680,1.11,611.8040000
EPIC 212499991 b,EPIC 212499991,2019,K2,,0.01000,0.91,283.2900000
EPIC 212587672 b,EPIC 212587672,2019,K2,,0.00669,0.99,320.0700000
EPIC 212587672 c,EPIC 212587672,2016,K2,,0.01890,0.99,320.0700000
EPIC 212624936 b,EPIC 212624936,2021,K2,,0.00588,1.00,561.9290000
EPIC 212624936 c,EPIC 212624936,2021,K2,,0.01860,1.00,561.9290000
EPIC 212737443 b,EPIC 212737443,2019,K2,0.098000,0.02270,0.69,336.2500000
EPIC 212737443 c,EPIC 212737443,2019,K2,0.280000,0.02420,0.69,336.2500000
EPIC 220492298 b,EPIC 220492298,2021,K2,,0.00295,0.95,624.5120000
EPIC 220554210 c,K2-282,2019,K2,,0.01000,0.94,496.2890000
EPIC 220674823 b,EPIC 220674823,2016,K2,0.013260,0.02583,0.95,244.5900000
EPIC 220674823 c,EPIC 220674823,2016,K2,0.108300,0.02800,0.95,244.5900000
EPIC 228836835 b,EPIC 228836835,2021,K2,,0.00430,0.42,150.1240000
EPIC 229004835 b,EPIC 229004835,2023,K2,0.123700,0.03272,0.97,121.9710000
EPIC 246851721 b,EPIC 246851721,2018,K2,0.072290,3.00000,1.32,372.6320000
EPIC 248847494 b,EPIC 248847494,2018,K2,4.500000,13.00000,0.90,551.8860000
EPIC 249893012 b,EPIC 249893012,2020,K2,0.047000,0.02753,1.05,321.2960000
EPIC 249893012 c,EPIC 249893012,2020,K2,0.130000,0.04616,1.05,321.2960000
EPIC 249893012 d,EPIC 249893012,2020,K2,0.220000,0.03203,1.05,321.2960000
FU Tau b,FU Tau,2008,Spitzer Space Telescope,800.000000,16.00000,0.05,133.4950466
G 196-3 b,G 196-3,2024,European Space Agency (ESA) Gaia Satellite,350.000000,26.00000,0.52,21.7912000
G 264-012 b,G 264-012,2021,Calar Alto Observatory,0.022790,0.00787,0.30,16.0090000
G 264-012 c,G 264-012,2021,Calar Alto Observatory,0.052500,0.01180,0.30,16.0090000
G 9-40 b,G 9-40,2019,K2,0.038500,0.03681,0.29,27.9276000
GJ 1002 b,GJ 1002,2022,Multiple Observatories,0.045700,0.00340,0.12,4.8486700
GJ 1002 c,GJ 1002,2022,Multiple Observatories,0.073800,0.00428,0.12,4.8486700
GJ 1061 b,GJ 1061,2020,La Silla Observatory,0.021000,0.00431,0.12,3.6727800
GJ 1061 c,GJ 1061,2020,La Silla Observatory,0.035000,0.00547,0.12,3.6727800
GJ 1061 d,GJ 1061,2020,La Silla Observatory,0.054000,0.00516,0.12,3.6727800
GJ 1132 b,GJ 1132,2015,Cerro Tololo Inter-American Observatory,0.015700,0.00578,0.19,12.6130000
GJ 1132 c,GJ 1132,2018,La Silla Observatory,0.047600,0.00831,0.18,12.6130000
GJ 1148 b,GJ 1148,2010,W. M. Keck Observatory,0.166000,0.30425,0.34,11.0143000
GJ 1148 c,GJ 1148,2017,Calar Alto Observatory,0.912000,0.21414,0.34,11.0143000
GJ 1151 c,GJ 1151,2023,Multiple Facilities,0.571400,0.03341,0.16,8.0362500
GJ 1214 b,GJ 1214,2009,MEarth Project,0.015050,0.02646,0.18,14.6427000
GJ 1252 b,GJ 1252,2020,Transiting Exoplanet Survey Satellite (TESS),0.009150,0.00415,0.38,20.3730000
GJ 1265 b,GJ 1265,2018,Calar Alto Observatory,0.026000,0.02328,0.18,10.2525000
GJ 143 b,GJ 143,2019,Transiting Exoplanet Survey Satellite (TESS),0.191500,0.07142,0.73,16.3200000
GJ 15 A b,GJ 15 A,2014,W. M. Keck Observatory,0.072000,0.00953,0.38,3.5622800
GJ 15 A c,GJ 15 A,2018,Roque de los Muchachos Observatory,5.400000,0.11327,0.38,3.5622800
GJ 160.2 b,GJ 160.2,2014,Multiple Observatories,0.053000,0.03209,0.69,25.8557000
GJ 163 b,GJ 163,2013,La Silla Observatory,0.060700,0.03335,0.40,15.1285000
GJ 163 c,GJ 163,2013,La Silla Observatory,0.125400,0.02140,0.40,15.1285000
GJ 163 d,GJ 163,2013,La Silla Observatory,1.030400,0.09250,0.40,15.1285000
GJ 179 b,GJ 179,2009,W. M. Keck Observatory,2.410000,0.95000,0.36,12.3560000
GJ 180 b,GJ 180,2014,Multiple Observatories,0.092000,0.02042,0.43,11.9407000
GJ 180 c,GJ 180,2014,Multiple Observatories,0.129000,0.02014,0.43,11.9407000
GJ 180 d,GJ 180,2020,Multiple Facilities,0.309000,0.02379,0.43,11.9407000
GJ 2030 b,GJ 2030,2022,Multiple Observatories,0.034000,0.01500,0.96,37.0788000
GJ 2030 c,GJ 2030,2022,Multiple Observatories,16.761000,12.80300,0.96,37.0788000
GJ 2056 b,GJ 2056,2020,Multiple Observatories,0.283000,0.05097,0.62,28.4434000
GJ 229 A c,GJ 229,2020,Multiple Facilities,0.384000,0.02700,0.51,5.7562400
GJ 229 b,GJ 229,2014,Multiple Observatories,1.086000,0.04700,0.51,5.7562400
GJ 238 b,GJ 238,2024,Transiting Exoplanet Survey Satellite (TESS),0.021230,0.00040,0.42,15.2142000
GJ 251 b,GJ 251,2020,W. M. Keck Observatory,0.081800,0.01259,0.36,5.5805700
GJ 27.1 b,GJ 27.1,2014,Multiple Observatories,0.101000,0.04090,0.53,23.6062000
GJ 273 b,GJ 273,2017,La Silla Observatory,0.091101,0.00909,0.29,5.9215350
GJ 273 c,GJ 273,2017,La Silla Observatory,0.036467,0.00371,0.29,5.9215350
GJ 3021 b,GJ 3021,2000,La Silla Observatory,0.490000,3.37000,0.90,17.5559000
GJ 3082 b,GJ 3082,2020,Multiple Facilities,0.079000,0.02580,0.47,16.6186000
GJ 3090 b,GJ 3090,2022,Transiting Exoplanet Survey Satellite (TESS),0.031650,0.01051,0.52,22.4751000
GJ 3138 b,GJ 3138,2017,La Silla Observatory,0.019700,0.00560,0.68,28.4712000
GJ 3138 c,GJ 3138,2017,La Silla Observatory,0.057000,0.01315,0.68,28.4712000
GJ 3138 d,GJ 3138,2017,La Silla Observatory,0.698000,0.03304,0.68,28.4712000
GJ 317 b,GJ 317,2007,W. M. Keck Observatory,1.151000,2.50000,0.42,15.1968000
GJ 317 c,GJ 317,2018,W. M. Keck Observatory,5.230000,1.64396,0.42,15.1968000
GJ 3222 b,GJ 3222,2022,Multiple Observatories,0.091000,0.03600,0.89,18.2381700
GJ 328 b,GJ 328,2013,McDonald Observatory,4.110000,2.51000,0.65,20.5266000
GJ 328 c,GJ 328,2023,Roque de los Muchachos Observatory,0.657000,0.06733,0.65,20.5266000
GJ 3293 b,GJ 3293,2015,La Silla Observatory,0.143390,0.07406,0.42,20.1903000
GJ 3293 c,GJ 3293,2015,La Silla Observatory,0.361750,0.06636,0.42,20.1903000
GJ 3293 d,GJ 3293,2017,La Silla Observatory,0.193940,0.02391,0.42,20.1903000
GJ 3293 e,GJ 3293,2017,La Silla Observatory,0.082080,0.01032,0.42,20.1903000
GJ 3323 b,GJ 3323,2017,La Silla Observatory,0.032820,0.00636,0.16,5.3748400
GJ 3323 c,GJ 3323,2017,La Silla Observatory,0.126400,0.00727,0.16,5.3748400
GJ 3341 b,GJ 3341,2015,La Silla Observatory,0.089000,0.02080,0.47,23.6190000
GJ 338 B b,GJ 338 B,2020,Calar Alto Observatory,0.142000,0.03335,0.64,6.3325600
GJ 3470 b,GJ 3470,2012,La Silla Observatory,0.035500,0.04373,0.54,29.4214000
GJ 3473 b,GJ 3473,2020,Transiting Exoplanet Survey Satellite (TESS),0.015890,0.00585,0.36,27.3644000
GJ 3473 c,GJ 3473,2020,Multiple Observatories,0.087600,0.02331,0.36,27.3644000
GJ 3512 b,GJ 3512,2019,Calar Alto Observatory,0.337000,0.46000,0.12,9.4863700
GJ 3512 c,GJ 3512,2020,Multiple Observatories,1.292000,0.20000,0.12,9.4863700
GJ 357 b,GJ 357,2019,Transiting Exoplanet Survey Satellite (TESS),0.036000,0.00579,0.34,9.4418100
GJ 357 c,GJ 357,2019,Multiple Observatories,0.061000,0.01070,0.34,9.4418100
GJ 357 d,GJ 357,2019,Multiple Observatories,0.204000,0.01919,0.34,9.4418100
GJ 3634 b,GJ 3634,2010,La Silla Observatory,0.028700,0.02600,0.45,20.3779000
GJ 367 b,GJ 367,2021,Transiting Exoplanet Survey Satellite (TESS),0.007090,0.00199,0.46,9.4126300
GJ 367 c,GJ 367,2023,La Silla Observatory,,0.01299,0.46,9.4126300
GJ 367 d,GJ 367,2023,La Silla Observatory,,0.01897,0.46,9.4126300
GJ 3779 b,GJ 3779,2018,Calar Alto Observatory,0.026000,0.02517,0.27,13.7430000
GJ 3929 b,GJ 3929,2022,Transiting Exoplanet Survey Satellite (TESS),0.025200,0.00551,0.31,15.8095000
GJ 3929 c,GJ 3929,2022,Multiple Observatories,0.081000,0.01797,0.31,15.8095000
GJ 393 b,GJ 393,2021,Multiple Observatories,0.054020,0.00538,0.43,7.0314900
GJ 3942 b,GJ 3942,2017,Roque de los Muchachos Observatory,0.060800,0.02246,0.63,16.9287000
GJ 3988 b,GJ 3988,2023,Calar Alto Observatory,0.040500,0.01161,0.18,9.9105000
GJ 3998 b,GJ 3998,2016,Roque de los Muchachos Observatory,0.029000,0.00777,0.50,18.1459000
GJ 3998 c,GJ 3998,2016,Roque de los Muchachos Observatory,0.089000,0.01970,0.50,18.1459000
GJ 411 b,GJ 411,2019,Haute-Provence Observatory,0.078790,0.00846,0.39,5.6757730
GJ 414 A b,GJ 414 A,2021,W. M. Keck Observatory,0.232400,0.02391,0.65,11.8893000
GJ 414 A c,GJ 414 A,2021,W. M. Keck Observatory,1.400000,0.16937,0.65,11.8893000
GJ 422 b,GJ 422,2014,Multiple Observatories,0.111000,0.03483,0.35,12.6631000
GJ 4276 b,GJ 4276,2019,Calar Alto Observatory,0.082000,0.05213,0.41,21.3362000
GJ 433 b,GJ 433,2011,La Silla Observatory,0.062000,0.01901,0.48,9.0645600
GJ 433 c,GJ 433,2014,Multiple Observatories,4.819000,0.10201,0.48,9.0645600
GJ 433 d,GJ 433,2020,Multiple Facilities,0.178000,0.01643,0.48,9.0645600
GJ 436 b,GJ 436,2004,W. M. Keck Observatory,0.029100,0.07000,0.47,9.7532100
GJ 463 b,GJ 463,2022,Multiple Observatories,3.530000,3.60000,0.49,18.3554000
GJ 480 b,GJ 480,2020,Multiple Observatories,0.068000,0.04153,0.45,14.2358000
